name,rate_pct,last_updated
ESTER,3.406,07-06-2023
Euribor - 1 week,3.393,07-07-2023
Euribor - 1 month,3.425,07-07-2023
Euribor - 3 months,3.64,07-07-2023
Euribor - 6 months,3.945,07-07-2023
Euribor - 12 months,4.193,07-07-2023
SONIA,4.93,07-05-2023
SARON,1.709,07-06-2023
TONAR,-0.032,07-05-2023
USD LIBOR - 1 month,5.29149,07-07-2023
USD LIBOR - 3 months,5.56008,07-07-2023
USD LIBOR - 6 months,5.84326,07-07-2023
SOFR,5.06,07-06-2023
SOFR 30 day average,5.06626,07-07-2023
SOFR 90 day average,5.01449,07-07-2023
SOFR 180 day average,4.81394,07-07-2023
